"","Cue_c","Cue_d","LF_c","LF_d","RF_c","RF_d","LH_c","LH_d","RH_c","RH_d","Ton_c","Ton_d","x","y","z"
"V1",3.95689638067068,-4.99617371384101,-2.52307797944693,-8.74058676350329,-2.41755835611624,-8.6573032051449,-2.7379182352395,-5.56733698915274,-2.61524248235052,-4.35969325090404,-0.419656877332753,-8.37562502784514,52,56,55
"V2",4.05783941616906,-5.20830477601376,-2.32305969400691,-9.01656220188154,-2.52359599425036,-9.05928726537673,-2.51733929926077,-5.46971361930494,-2.93191542261549,-4.52453526354469,-0.183667357457485,-8.25447072130776,51,57,55
"V3",1.19743362199022,-2.47473760958719,-2.83883526070047,-4.55965040871671,-0.429451102503866,-4.08774758852655,-4.10813070296082,-5.2538330651053,2.05583746430628,-0.613172291937125,0.825942407395169,-7.06443698011216,65,53,56
"V4",1.2061713541234,-2.5712236924518,-2.80272123747677,-4.69194020483768,-0.597883764002605,-4.35688280609943,-3.97256299587369,-5.07245658176219,1.94855081787371,-0.73259667785448,1.07599001193201,-7.07385099946562,64,54,56
"V5",0.923986917766092,-2.51918763567403,-2.75879540783195,-4.49470366347387,-0.252872608066855,-3.97474206438151,-3.96082291613638,-5.06141981936458,1.95257518100282,-0.588482368510947,1.29106766264408,-6.91783161643131,65,54,56
"V6",0.99523509602449,-2.67333676399338,-2.73115130861517,-4.6798644608649,-0.441887398012148,-4.29345266139135,-3.80815411326848,-4.90271746281435,1.76656704249316,-0.747102419852905,1.56120655269148,-6.94972494106404,64,55,56
"V7",0.682333034483986,-2.61916059935963,-2.66815424322866,-4.46342560609378,-0.078611196787232,-3.87223919474867,-3.78487156079244,-4.88132099300507,1.7573453264067,-0.609366362062095,1.79242502327642,-6.79561121607238,65,55,56
"V8",4.17798695312783,-4.7018359314036,-2.63328440336563,-8.45905288129541,-2.27119940139131,-8.45480394669585,-2.65779218233524,-5.35418483734118,-2.21160418384767,-4.2658208639361,-0.71073715645557,-7.69771224098305,52,56,56
"V9",4.07390221927653,-4.54558913218869,-2.78515018345345,-8.26931247288712,-2.22613806585023,-8.2780024745289,-2.77550232232428,-5.37771679694188,-1.90494431960904,-4.02735068266815,-0.520289839206905,-7.69923610771874,53,56,56
"V10",4.27398188835771,-5.09165403531533,-1.98670396083394,-8.82718234504242,-2.44753062499908,-8.98606955761997,-2.19202719682356,-5.09183755617249,-2.90583098798924,-4.69655751396279,-0.775412148130538,-7.5105956882469,49,57,56
"V11",4.31052226204643,-5.02605691496631,-2.21627513421514,-8.81999223998834,-2.41194128450528,-8.95216630307807,-2.31570528442126,-5.19013558995613,-2.75205101646807,-4.58944794296353,-0.649426392333547,-7.5582537345045,50,57,56
"V12",4.29929428392198,-4.93128177842071,-2.42619174131067,-8.74765053256883,-2.37089887024655,-8.86509969602191,-2.43424277339811,-5.26052474521518,-2.55254025159396,-4.43809987726295,-0.495030444875462,-7.58980854239703,51,57,56
"V13",4.23784676135755,-4.81034496743862,-2.60979810841895,-8.61242301197182,-2.32239892639702,-8.72520806181233,-2.54966833407264,-5.30338926688357,-2.30743835408499,-4.24447686848011,-0.315615177812858,-7.60581804941608,52,57,56
"V14",4.12563309964316,-4.66730790050872,-2.76218012364154,-8.41866837061305,-2.26419660182956,-8.53425877363745,-2.66313363388373,-5.3197476142689,-2.0195277360431,-4.01204966912108,-0.114964970641897,-7.60695143317006,53,57,56
"V15",4.35525583776888,-5.04811610189808,-2.35640309130635,-8.8832681307232,-2.408120103029,-9.10461742109197,-2.33163295595888,-5.22353123008353,-2.67633229289686,-4.42358275280357,-0.0620205590845963,-7.50898247211464,51,58,56
"V16",4.28819929380935,-4.9421124908198,-2.54138844666082,-8.74714384364807,-2.35000781053898,-8.95551416970554,-2.44057352914351,-5.25885210073537,-2.4506869936021,-4.23639266993783,0.126345845715637,-7.52557790898921,52,58,56
"V17",4.16893761837799,-4.81403395777027,-2.69433933813855,-8.55218715182546,-2.28016088002073,-8.75270459831479,-2.54707092453737,-5.26786677118004,-2.18421112094892,-4.01195630758213,0.336365415427714,-7.52737460564643,53,58,56
"V18",4.39962120721256,-5.1869795351173,-2.24314740281061,-8.99715685440272,-2.41755813351983,-9.29933939475445,-2.2348228966966,-5.19494275597701,-2.84448716001836,-4.42273607189363,0.419173427060814,-7.43903921052209,51,59,56
